Timestamp_Epoch_ms,X_mg,Y_mg,Z_mg
1780608024888,-601.0,111.0,756.0
1780608024893,-602.0,110.0,755.0
1780608024898,-600.0,112.0,758.0
1780608024903,-602.0,111.0,757.0
1780608024908,-602.0,110.0,755.0
1780608024913,-601.0,111.0,757.0
1780608024918,-601.0,114.0,757.0
1780608024923,-602.0,108.0,753.0
1780608024928,-601.0,108.0,757.0
1780608024933,-602.0,110.0,757.0
1780608024938,-601.0,109.0,759.0
1780608024943,-603.0,110.0,760.0
1780608024948,-603.0,113.0,762.0
1780608024953,-602.0,110.0,763.0
1780608024958,-602.0,116.0,764.0
1780608024963,-602.0,117.0,767.0
1780608024968,-603.0,117.0,768.0
1780608024973,-604.0,121.0,766.0
1780608024977,-605.0,120.0,766.0
1780608024982,-603.0,126.0,767.0
1780608024987,-602.0,127.0,765.0
1780608024992,-603.0,130.0,768.0
1780608024997,-603.0,133.0,769.0
1780608025002,-602.0,133.0,770.0
1780608025007,-603.0,131.0,769.0
1780608025012,-603.0,133.0,768.0
1780608025017,-604.0,127.0,770.0
1780608025022,-603.0,129.0,766.0
1780608025027,-604.0,131.0,763.0
1780608025032,-605.0,136.0,762.0
1780608025037,-604.0,135.0,765.0
1780608025042,-603.0,133.0,767.0
1780608025047,-603.0,134.0,768.0
1780608025052,-603.0,133.0,769.0
1780608025057,-602.0,129.0,769.0
1780608025062,-601.0,127.0,770.0
1780608025067,-602.0,131.0,766.0
1780608025072,-599.0,129.0,764.0
1780608025077,-601.0,128.0,762.0
1780608025082,-600.0,122.0,766.0
1780608025087,-598.0,127.0,764.0
1780608025092,-594.0,127.0,767.0
1780608025097,-593.0,122.0,769.0
1780608025102,-589.0,133.0,769.0
1780608025107,-587.0,129.0,770.0
1780608025112,-588.0,131.0,770.0
1780608025117,-593.0,137.0,773.0
1780608025122,-595.0,143.0,770.0
1780608025127,-593.0,138.0,770.0
1780608025132,-596.0,137.0,773.0
1780608025137,-597.0,132.0,773.0
1780608025142,-599.0,135.0,770.0
1780608025147,-598.0,132.0,770.0
1780608025152,-597.0,129.0,770.0
1780608025205,-593.0,130.0,768.0
1780608025210,-594.0,133.0,764.0
1780608025215,-594.0,132.0,766.0
1780608025220,-592.0,131.0,766.0
1780608025225,-588.0,132.0,769.0
1780608025230,-591.0,129.0,769.0
1780608025235,-591.0,129.0,769.0
1780608025240,-594.0,126.0,776.0
1780608025245,-593.0,130.0,778.0
1780608025250,-596.0,125.0,782.0
1780608025255,-596.0,130.0,779.0
1780608025260,-598.0,131.0,781.0
1780608025265,-598.0,126.0,778.0
1780608025270,-598.0,126.0,779.0
1780608025275,-600.0,122.0,774.0
1780608025280,-600.0,117.0,773.0
1780608025285,-602.0,112.0,766.0
1780608025290,-605.0,108.0,723.0
1780608025295,-167.0,812.0,364.0
1780608025300,-90.0,132.0,-4596.0
1780608025305,-1442.0,377.0,-2284.0
1780608025310,-1555.0,-369.0,704.0
1780608025315,290.0,-96.0,223.0
1780608025320,-357.0,219.0,920.0
1780608025325,-850.0,-114.0,1309.0
1780608025330,-780.0,-159.0,1355.0
1780608025335,-568.0,-94.0,1348.0
1780608025340,-527.0,17.0,1488.0
1780608025345,-580.0,34.0,1583.0
1780608025350,-606.0,91.0,1541.0
1780608025355,-590.0,172.0,1390.0
1780608025360,-590.0,212.0,1210.0
1780608025365,-572.0,241.0,970.0
1780608025370,-536.0,226.0,839.0
1780608025375,-511.0,203.0,782.0
1780608025380,-535.0,181.0,732.0
1780608025293,-558.0,137.0,692.0
1780608025298,-413.0,79.0,749.0
1780608025303,-486.0,79.0,745.0
1780608025308,-561.0,58.0,694.0
1780608025313,-626.0,60.0,674.0
1780608025318,-692.0,71.0,669.0
1780608025323,-742.0,82.0,641.0
1780608025328,-772.0,95.0,623.0
1780608025333,-777.0,105.0,608.0
1780608025338,-750.0,122.0,599.0
1780608025343,-723.0,130.0,589.0
1780608025348,-690.0,135.0,569.0
1780608025353,-663.0,130.0,566.0
1780608025358,-622.0,123.0,579.0
1780608025363,-604.0,118.0,599.0
1780608025368,-599.0,118.0,623.0
1780608025373,-590.0,124.0,655.0
1780608025378,-573.0,128.0,689.0
1780608025383,-558.0,131.0,723.0
1780608025388,-547.0,132.0,756.0
1780608025393,-539.0,141.0,776.0
1780608025398,-532.0,146.0,800.0
1780608025403,-531.0,146.0,812.0
1780608025408,-530.0,147.0,831.0
1780608025413,-535.0,139.0,846.0
1780608025418,-540.0,132.0,846.0
1780608025423,-551.0,129.0,846.0
1780608025428,-558.0,130.0,848.0
1780608025433,-567.0,132.0,852.0
1780608025438,-576.0,128.0,848.0
1780608025443,-584.0,128.0,846.0
1780608025448,-359.0,-1071.0,2494.0
1780608025453,-1566.0,2118.0,-4947.0
1780608025458,131.0,-510.0,-871.0
1780608025463,-835.0,-147.0,911.0
1780608025468,-153.0,-345.0,1337.0
1780608025473,-344.0,-275.0,1244.0
1780608025478,-876.0,-99.0,1007.0
1780608025483,-972.0,-122.0,1076.0
1780608025488,-1085.0,129.0,1262.0
1780608025493,-832.0,216.0,1372.0
1780608025498,-745.0,222.0,1367.0
1780608025503,-715.0,145.0,1241.0
1780608025508,-603.0,150.0,1320.0
1780608025513,-581.0,115.0,978.0
1780608025518,-687.0,86.0,908.0
1780608025523,-549.0,17.0,1025.0
1780608025528,-583.0,154.0,905.0
1780608025533,-587.0,116.0,959.0
1780608025538,-497.0,133.0,971.0
1780608025543,-437.0,135.0,1030.0
1780608025548,-617.0,129.0,981.0
1780608025553,-496.0,118.0,972.0
1780608025558,-471.0,114.0,729.0
1780608025563,-538.0,92.0,463.0
1780608025568,-648.0,84.0,346.0
1780608025573,-723.0,85.0,358.0
1780608025578,-747.0,87.0,405.0
1780608025583,-753.0,97.0,459.0
1780608025588,-745.0,108.0,502.0
1780608025593,-723.0,137.0,546.0
1780608025598,-680.0,150.0,589.0
1780608025603,-624.0,155.0,613.0
1780608025608,-601.0,155.0,625.0
1780608025613,-584.0,157.0,643.0
1780608025618,-572.0,153.0,662.0
1780608025623,-568.0,156.0,677.0
1780608025628,-565.0,158.0,698.0
1780608025633,-569.0,151.0,718.0
1780608025638,-574.0,145.0,745.0
1780608025643,-581.0,134.0,761.0
1780608025648,-582.0,131.0,781.0
1780608025700,-580.0,119.0,802.0
1780608025705,-576.0,108.0,819.0
1780608025710,-574.0,102.0,837.0
1780608025715,-575.0,97.0,845.0
1780608025720,-577.0,101.0,845.0
1780608025725,-576.0,98.0,839.0
1780608025730,-581.0,106.0,831.0
1780608025735,-585.0,107.0,824.0
1780608025740,-588.0,110.0,817.0
1780608025745,-596.0,111.0,808.0
1780608025750,-599.0,117.0,802.0
1780608025755,-601.0,125.0,795.0
1780608025760,-605.0,124.0,787.0
1780608025765,-612.0,130.0,777.0
1780608025770,-620.0,133.0,770.0
1780608025775,-629.0,130.0,767.0
1780608025780,-634.0,133.0,762.0
1780608025785,-641.0,136.0,762.0
1780608025790,-643.0,138.0,758.0
1780608025795,-641.0,137.0,759.0
1780608025800,-642.0,136.0,757.0
1780608025805,-634.0,137.0,758.0
1780608025810,-623.0,132.0,757.0
1780608025815,-620.0,135.0,757.0
1780608025820,-609.0,132.0,757.0
1780608025825,-605.0,127.0,754.0
1780608025830,-601.0,131.0,753.0
1780608025835,-602.0,132.0,750.0
1780608025840,-598.0,129.0,749.0
1780608025845,-598.0,133.0,752.0
1780608025850,-593.0,132.0,753.0
1780608025855,-586.0,130.0,758.0
1780608025860,-580.0,132.0,761.0
1780608025865,-578.0,137.0,764.0
1780608025870,-582.0,143.0,769.0
1780608025875,-582.0,144.0,774.0
1780608025877,-587.0,145.0,779.0
1780608025882,-594.0,151.0,778.0
1780608025887,-598.0,152.0,778.0
1780608025892,-601.0,145.0,776.0
1780608025897,-603.0,142.0,770.0
1780608025902,-605.0,146.0,770.0
1780608025907,-608.0,142.0,765.0
1780608025912,-613.0,140.0,765.0
1780608025917,-613.0,134.0,759.0
1780608025922,-613.0,132.0,757.0
1780608025927,-612.0,138.0,752.0
1780608025932,-610.0,141.0,751.0
1780608025937,-612.0,137.0,750.0
1780608025942,-609.0,124.0,754.0
1780608025947,-608.0,131.0,754.0
1780608025952,-606.0,128.0,754.0
1780608025957,-606.0,130.0,758.0
1780608025962,-605.0,128.0,759.0
1780608025967,-603.0,125.0,762.0
1780608025972,-603.0,128.0,760.0
1780608025977,-602.0,128.0,761.0
1780608025982,-602.0,132.0,764.0
1780608025987,-601.0,132.0,766.0
1780608025992,-601.0,130.0,764.0
1780608025997,-600.0,131.0,764.0
1780608026002,-601.0,132.0,766.0
1780608026007,-600.0,131.0,768.0
1780608026012,-602.0,132.0,766.0
1780608026017,-602.0,130.0,768.0
1780608026022,-603.0,133.0,766.0
1780608026027,-604.0,138.0,765.0
1780608026032,-606.0,130.0,764.0
1780608026037,-605.0,132.0,763.0
1780608026042,-607.0,135.0,764.0
1780608026047,-607.0,135.0,763.0
1780608026052,-607.0,131.0,763.0
1780608026012,-606.0,133.0,765.0
1780608026017,-605.0,135.0,763.0
1780608026022,-606.0,134.0,763.0
1780608026027,-603.0,140.0,761.0
1780608026032,-602.0,145.0,762.0
1780608026037,-603.0,139.0,762.0
1780608026042,-600.0,143.0,763.0
1780608026047,-600.0,146.0,765.0
1780608026052,-597.0,147.0,765.0
1780608026057,-598.0,142.0,770.0
1780608026062,-599.0,143.0,770.0
1780608026067,-598.0,143.0,772.0
1780608026072,-598.0,143.0,769.0
1780608026077,-598.0,143.0,779.0
1780608026082,-599.0,137.0,787.0
1780608026087,-596.0,142.0,795.0
1780608026092,-592.0,140.0,812.0
1780608026097,-591.0,138.0,840.0
1780608026102,-585.0,142.0,871.0
1780608026107,-572.0,147.0,888.0
1780608026112,-556.0,147.0,906.0
1780608026117,-542.0,147.0,910.0
1780608026122,-538.0,144.0,895.0
1780608026127,-541.0,137.0,885.0
1780608026132,-548.0,133.0,846.0
1780608026137,-573.0,137.0,803.0
1780608026142,-597.0,135.0,769.0
1780608026147,-618.0,132.0,744.0
1780608026152,-664.0,131.0,709.0
1780608026157,-691.0,128.0,682.0
1780608026162,-724.0,114.0,651.0
1780608026167,-735.0,100.0,629.0
1780608026172,-739.0,93.0,616.0
1780608026177,-736.0,92.0,610.0
1780608026182,-717.0,97.0,600.0
1780608026187,-688.0,99.0,599.0
1780608026192,-660.0,109.0,614.0
1780608026197,-618.0,114.0,628.0
1780608026202,-603.0,129.0,648.0
1780608026207,-599.0,143.0,689.0
1780608026212,-597.0,151.0,709.0
1780608026217,-598.0,158.0,736.0
1780608026222,-605.0,153.0,751.0
1780608026227,-618.0,158.0,749.0
1780608026232,-650.0,160.0,753.0
1780608026237,-670.0,159.0,745.0
1780608026242,-675.0,157.0,742.0
1780608026247,-671.0,158.0,744.0
1780608026252,-659.0,162.0,744.0
1780608026257,-641.0,164.0,750.0
1780608026262,-634.0,164.0,748.0
1780608026267,-623.0,164.0,750.0
1780608026272,-616.0,166.0,752.0
1780608026277,-612.0,164.0,751.0
1780608026282,-605.0,163.0,758.0
1780608026287,-602.0,162.0,760.0
1780608026292,-599.0,162.0,761.0
1780608026297,-597.0,158.0,765.0
1780608026302,-593.0,155.0,763.0
1780608026307,-592.0,148.0,770.0
1780608026312,-588.0,140.0,767.0
1780608026317,-587.0,137.0,773.0
1780608026322,-593.0,127.0,775.0
1780608026327,-595.0,121.0,773.0
1780608026332,-599.0,121.0,773.0
1780608026337,-604.0,115.0,766.0
1780608026342,-605.0,108.0,767.0
1780608026347,-617.0,108.0,764.0
1780608026352,-633.0,107.0,761.0
1780608026357,-648.0,103.0,759.0
1780608026362,-661.0,100.0,754.0
1780608026367,-672.0,97.0,750.0
1780608026372,-677.0,102.0,740.0
1780608026377,-683.0,99.0,738.0
1780608026382,-685.0,97.0,730.0
1780608026387,-685.0,100.0,731.0
1780608026392,-685.0,102.0,728.0
1780608026397,-681.0,102.0,721.0
1780608026402,-677.0,109.0,729.0
1780608026407,-672.0,113.0,735.0
1780608026412,-665.0,117.0,731.0
1780608026417,-655.0,125.0,734.0
1780608026422,-649.0,138.0,732.0
1780608026427,-636.0,141.0,732.0
1780608026432,-628.0,144.0,737.0
1780608026437,-618.0,150.0,737.0
1780608026442,-614.0,154.0,735.0
1780608026447,-612.0,155.0,734.0
1780608026452,-609.0,153.0,741.0
1780608026457,-610.0,152.0,737.0
1780608026462,-608.0,158.0,742.0
1780608026467,-607.0,158.0,737.0
1780608026472,-609.0,159.0,739.0
1780608026477,-612.0,154.0,739.0
1780608026482,-614.0,157.0,738.0
1780608026487,-617.0,154.0,744.0
1780608026492,-621.0,156.0,743.0
1780608026497,-619.0,149.0,746.0
1780608026502,-625.0,147.0,748.0
1780608026507,-625.0,150.0,749.0
1780608026512,-624.0,152.0,750.0
1780608026517,-625.0,149.0,751.0
1780608026522,-628.0,152.0,757.0
1780608026527,-627.0,152.0,755.0
1780608026532,-631.0,155.0,759.0
1780608026537,-640.0,162.0,753.0
1780608026542,-636.0,160.0,759.0
1780608026547,-628.0,162.0,762.0
1780608026552,-633.0,160.0,763.0
1780608026557,-631.0,162.0,761.0
1780608026562,-627.0,156.0,764.0
1780608026567,-631.0,152.0,761.0
1780608026572,-626.0,152.0,760.0
1780608026577,-627.0,146.0,752.0
1780608026582,-623.0,133.0,754.0
1780608026587,-619.0,130.0,753.0
1780608026592,-615.0,117.0,755.0
1780608026597,-614.0,117.0,755.0
1780608026602,-611.0,115.0,755.0
1780608026607,-612.0,117.0,758.0
1780608026612,-621.0,115.0,758.0
1780608026617,-623.0,111.0,760.0
1780608026622,-630.0,112.0,755.0
1780608026627,-637.0,109.0,755.0
1780608026632,-640.0,110.0,748.0
1780608026637,-637.0,104.0,750.0
1780608026642,-641.0,111.0,742.0
1780608026647,-633.0,110.0,743.0
1780608026652,-630.0,112.0,734.0
1780608026657,-627.0,117.0,739.0
1780608026662,-623.0,118.0,736.0
1780608026667,-624.0,120.0,739.0
1780608026672,-623.0,128.0,731.0
1780608026677,-623.0,129.0,744.0
1780608026682,-618.0,139.0,743.0
1780608026687,-617.0,140.0,751.0
1780608026692,-617.0,149.0,746.0
1780608026697,-612.0,151.0,753.0
1780608026702,-611.0,156.0,752.0
1780608026707,-609.0,158.0,756.0
1780608026712,-605.0,160.0,756.0
1780608026717,-602.0,161.0,756.0
1780608026722,-602.0,159.0,760.0
1780608026727,-600.0,158.0,756.0
1780608026687,-593.0,158.0,759.0
1780608026692,-597.0,160.0,759.0
1780608026697,-598.0,159.0,763.0
1780608026702,-599.0,155.0,765.0
1780608026707,-602.0,152.0,768.0
1780608026712,-605.0,154.0,769.0
1780608026717,-606.0,154.0,770.0
1780608026722,-607.0,149.0,771.0
1780608026727,-607.0,150.0,772.0
1780608026732,-608.0,146.0,772.0
1780608026737,-608.0,147.0,765.0
1780608026742,-606.0,143.0,763.0
1780608026747,-606.0,139.0,760.0
1780608026752,-609.0,141.0,755.0
1780608026757,-610.0,141.0,758.0
1780608026762,-617.0,137.0,755.0
1780608026767,-627.0,139.0,750.0
1780608026772,-638.0,134.0,754.0
1780608026777,-653.0,129.0,755.0
1780608026782,-662.0,136.0,753.0
1780608026787,-667.0,137.0,755.0
1780608026792,-675.0,141.0,752.0
1780608026797,-671.0,144.0,747.0
1780608026802,-666.0,143.0,746.0
1780608026807,-661.0,145.0,747.0
1780608026812,-644.0,147.0,745.0
1780608026817,-635.0,145.0,740.0
1780608026822,-628.0,141.0,743.0
1780608026827,-623.0,140.0,741.0
1780608026832,-619.0,140.0,737.0
1780608026837,-618.0,136.0,740.0
1780608026842,-617.0,132.0,740.0
1780608026847,-614.0,134.0,736.0
1780608026852,-611.0,129.0,742.0
1780608026857,-609.0,131.0,744.0
1780608026862,-605.0,135.0,746.0
1780608026867,-603.0,126.0,750.0
1780608026872,-604.0,130.0,747.0
1780608026877,-603.0,128.0,746.0
1780608026882,-604.0,131.0,750.0
1780608026887,-605.0,133.0,751.0
1780608026892,-607.0,127.0,752.0
1780608026897,-606.0,133.0,750.0
1780608026902,-606.0,132.0,752.0
1780608026907,-608.0,130.0,752.0
1780608026912,-607.0,127.0,758.0
1780608026917,-604.0,124.0,758.0
1780608026922,-607.0,127.0,760.0
1780608026927,-608.0,127.0,762.0
1780608026932,-612.0,130.0,763.0
1780608026937,-613.0,130.0,763.0
1780608026942,-611.0,130.0,766.0
1780608026947,-615.0,132.0,764.0
1780608026952,-617.0,136.0,765.0
1780608026957,-619.0,128.0,762.0
1780608026962,-617.0,130.0,762.0
1780608026967,-623.0,129.0,760.0
1780608026972,-621.0,127.0,760.0
1780608026977,-620.0,130.0,759.0
1780608026982,-623.0,126.0,756.0
1780608026987,-624.0,129.0,755.0
